the	这个、这些
program	项目
worker	工人
market	市场
teach	教
support	支持
among	在……之中
kind	仁慈的、种类
friend	朋友
skill	技术
yet	然而
form	形式、形成
include	包括
move	移动
rather	相当的
create	创造
never	从不
century	世纪
bad	坏的
eat	吃
always	总是
least	最小的、最少的
face	面对
plan	计划
consider	考虑
industry	工业、行业
themselves	他们自己、他们亲自
process	过程、进程
rate	比率
fact	事实
house	房子
culture	文化
power	力、功率
share	分享
area	地区、范围
million	百万
lot	很、许多
sense	感觉
lose	失去、失败
against	相对、相反
rise	上升
energy	精力
control	控制
space	空间
case	情况
hold	握着、坚持
possible	可能的
ability	能力
animal	动物
enough	足够
value	价值
role	角色
week	周末
individual	个人的、独特的
hand	手
open	打开
ten	十
term	条款、期限
away	离开
happen	发生
fall	下降、掉落
self	自我、自己
art	艺术
decision	决定、决议
interest	兴趣
drive	驾驶、驱使
issue	问题、期刊、发布
produce	生产
complete	完全地
under	在…之下
activity	活跃、活动
national	国家的
brain	大脑
level	水平、等级
able	有能力的
run	跑步、运转
past	过去的
win	赢
present	呈现、提出、礼物、现在
quality	质量
difficult	困难的
easy	容易的
tend	趋向于、照料
reduce	减少
five	五
expect	预料、期待
order	订单、命令、顺序
law	法律、法则
environment	环境、自然环境
paper	纸、试卷
mind	思维、想法
kid	孩子
economy	经济
percent	百分之的
sleep	睡眠
recent	近来的
half	一半
close	关闭、近
attention	注意
poor	贫穷的、可怜的、糟糕的
free	自由的
body	身体
measure	衡量、测量
office	办公室
travel	旅行
major	主要的
professor	教授
natural	自然的
remain	保持
though	尽管
next	下一个
design	设计
history	历史
nation	国家
real	真的
almost	几乎
customer	顾客
subject	科目
ago	以前
focus	聚焦、焦点
local	当地的
really	确实
certain	确定的
ever	从来
success	成功
late	晚的
true	真实
name	名称、命名
knowledge	知识
stress	压力
matter	事情、问题、重要
involve	涉及
raise	举起、提出
identify	识别、鉴定
stay	保持、停留
population	人口
risk	风险
medium	中等的、媒介
lack	缺乏
strong	强壮的、强烈的
fill	填
patient	有耐心的、病人
rule	规则
until	直到
continue	继续
receive	收到
already	已经
record	记录
employee	雇工
sell	卖
note	笔记
month	月
community	社区、共同体
demand	要求
personal	个人的
instead	反而
challenge	挑战
store	存储、商店
check	检查
deal	处理
opportunity	机会
relationship	关系
list	清单
usually	通常、平常
average	平均的
although	尽管
eye	眼睛
break	打破
fast	快
common	普通的
condition	条件、情况
behavior	行为
global	全球的
within	内部
difference	不同
light	点亮、轻的
growth	生长
shop	购物
meet	遇见、会见
concern	关心、涉及
task	任务
scientific	科学的、细致严谨的
effort	努力
plant	植物、工厂
encourage	鼓励、发展
career	职业
fail	衰退、破产
influence	影响
avoid	避免
music	音乐
add	增加
policy	政策
item	物品、条款
force	强迫、迫使
member	成员
explain	解释
translation	翻译
side	一边
enjoy	享受
cut	切、砍
adult	大人、成人
international	国际的
training	训练
general	一般的、总的、将军
nature	自然界、性质
type	类型、输入
doctor	医生
mother	妈妈
situation	情况
several	几个
save	保存、拯救
essay	论文
game	游戏
graduate	毕业、获学位
decade	十年
medical	医疗的
miss	错过、想念
train	列车、行列
third	第三
interview	采访、面试
stop	阻止
financial	财政的
reach	到达、达到
professional	职业的、专业的
sign	标牌
earth	地球、泥土
project	项目、计划
generation	产生、一代人
standard	标准
war	战争
story	故事
rich	丰富的
later	后来、其后
again	再次
air	空气
night	夜晚
contain	包含
main	主要的
soon	很快的
sound	声音
love	爱
account	账户
return	回归、返回
affect	影响
translate	解释、翻译、转变
sure	肯定的
describe	描述
purpose	目的
full	满的
room	房间
appear	出现
impact	冲击
period	一段时间
television	电视
quite	相当的
position	位置
attitude	态度
machine	机器
clear	清楚的
field	田地、场地、领域
pass	经过
below	在…下面
here	这里
communication	沟通
protect	保护
performance	表演
lecture	讲座
factor	因素、因子
top	顶端
firm	牢固的
draw	画画
memory	记忆
whole	全部的
writer	作家
watch	观看
death	死亡
white	白色的
academic	学术的
bear	携带、承受
importance	重要性
decline	拒绝、下降
claim	索要、声称
model	模型
wrong	错误的
expert	专家、专门的
carry	携带
act	行为、行动、扮演
send	发送
accept	接受
potential	潜在的
degree	温度、程度
resource	资源
pause	暂停
opinion	意见
income	收入
amount	数量
disease	疾病
stand	站立
political	政治的
popular	受欢迎的
argue	论述、争论、争吵
physical	自然科学的、肉体的
team	团队
action	行动、行为
material	材料
prove	证明
compare	比较
competition	比赛
nothing	没有
perhaps	也许
private	私人的
please	请、使愉快
head	前往
street	街道
available	可行的
current	当前、电流、趋向
boy	男孩
goal	目标
loss	丢失
evidence	证据
together	一共
speed	加速
middle	中间的
along	沿着
sale	销售
production	生产
grade	年级
visit	参观、访问
content	内容、目录、满足的
source	来源
security	安全
pressure	压力
gap	间隙、分歧
across	穿过
let	让
depend	依赖
especially	尤其
modern	现代的
simply	仅仅
farm	农场
approach	接近、方法
correct	更正、纠正
special	特别的
hope	希望
someone	某人
speaker	扬声器、说话人
intelligence	智力
picture	图片
survey	调查、测量
everyone	每人
event	事件
either	两者之一
step	步骤
habit	习惯
responsibility	责任
similar	相似的
necessary	必要的
chance	机会
foreign	国外的
apply	应用
father	父亲
driver	驾驶员
oil	油
anything	任何事
access	进入、存取
sport	体育运动
exist	存在
advantage	优势
newspaper	报纸
remember	记得
agree	同意
manager	经理
land	着陆、土地
solve	解答
function	功能
management	经营、管理
phrase	短语
experiment	实验
structure	结构
everything	每件事
sit	坐在
seek	寻求
message	消息
per	每、经
promote	促进
figure	算计、人物、数字
road	路
limit	限制
sometimes	有时
fear	恐惧
supply	供应
argument	争论、论据
relate	讲述、使相互关联
effective	有效的
prevent	阻止
pattern	模式、图案
baby	宝贝
search	搜索
itself	它自己
response	回应
beyond	超越
regard	看待
reader	读者、读物
serious	严肃认真的、严重的
near	近的、亲近的
serve	服务
president	总统
climate	气候
heart	心
black	黑色的
traffic	交通
walk	走路
determine	决定
gain	获得、增加
speech	演讲、言语
award	颁奖、奖励
prepare	准备
except	除了……之外
publish	公布、出版
digital	数字的、数码的
suffer	遭受
mental	精神的
positive	积极的
outside	外面的
party	派对
dream	梦想
increasingly	不断增加地
trade	交易
contribute	贡献
drink	喝
therefore	因此
himself	他自己、他本人
achieve	实现
conflict	冲突
trouble	麻烦
nearly	几乎
girl	女孩
status	状态
exercise	锻炼
various	各种各样的
basic	基本的、根本的
fit	健康的、适合
above	在…上面
occur	发生
refer	提及
die	死
town	城镇
maintain	保持、维持
wait	等待
failure	失败
composition	构成、作品、作词
attend	出席、照看
critical	批评的、关键的
alone	单独的、仅仅
meeting	会议
tax	税、对……征税
feature	特征、容貌、以……为特色
express	表达
shift	转移、转换
hundred	百、许多
simple	简单的
successful	成功的
thousand	一千
theory	理论
key	钥匙、关键
image	形象、肖像
couple	情侣、夫妻
whose	谁的
catch	抓住
select	选择
card	卡片、纸牌
cover	覆盖
earn	挣得
farmer	农民
trend	趋势
attract	吸引
clean	干净的
method	方法
promise	承诺
desire	渴望
lie	谎话、说谎
healthy	健康的、有益健康的
rest	休息
difficulty	困难
network	网络
billion	十亿、万亿
detail	细节
daily	破晓、开始
normal	正常的
reward	回报、报酬
post	发布、张贴、邮寄
cook	烹饪
upon	在…上面
thus	因此
toward	向、朝向
discover	探索、发现
behind	在…后面
introduce	介绍
else	其他
drop	掉下
device	装置、方法
court	法庭、球场
drug	药
warm	温暖
range	范围
solution	解决方案
essential	重要的
particular	特定的
fashion	时尚
indicate	表明
accident	事故
slow	慢的
six	六
attach	附上、附加
respect	尊重
error	错误
happy	快乐的
credit	信用
expensive	贵的
finish	完成
deep	深的
bill	账单
fire	火、开除
site	景点、站点
moment	时刻
belief	信仰、相信
museum	博物馆
finally	最终地
address	演说、地址
concept	概念
crime	犯罪
damage	损害
negative	消极的
size	大小
restaurant	饭馆
federal	联邦的
labor	劳动力
progress	进步
robot	机器人
movement	运动
weather	天气
mistake	错误
infer	推断
enter	进入
charge	收费、索价、充电
medicine	医药
engage	吸引、使参加
executive	实行的、经理
wide	广泛的、宽的
variety	多样化、种类
race	比赛、竞速
object	目标、物体
manage	管理、设法做到
hospital	医院
official	官方的
huge	大的
hire	雇佣
hotel	酒店
treat	对待
perform	演奏、执行
employer	雇主
literature	文学
profit	利润
article	文章
weight	体重
trip	旅行
investment	投资
due	预期的、到期的
aspect	样子、方面
wear	穿着
define	定义
balance	平衡
enable	使能够
consumption	消费、消耗
character	性格
crisis	危机
dollar	美元
green	绿的、未熟的
immigrant	移民
contact	联系
cold	冷的
reality	现实、真实的事物
department	部门
comment	评论
board	板
consequence	后果、结果
style	风格
fight	打斗
advice	建议
meal	饭
worry	担心
tool	工具
waste	浪费
predict	预测
despite	尽管
morning	早晨
operation	运营、操作
industrial	工业的
stage	阶段
kill	杀
specific	具体的、详细的
highly	高度地
purchase	购买
director	指挥者
significant	有意义的、重要的
feeling	感受
replace	替代
yourself	你自己、你亲自
print	打印
shape	形状
thirty	三十
ground	地面、场所
screen	屏幕
struggle	斗争、奋斗
lay	放置、躺、位于、说谎
sea	大海
forget	忘记
expand	扩大
cross	跨过、穿过
multiple	多种多样的、倍数
wife	妻子
intellectual	知识分子、知识的
fund	资金
conduct	实施、开展
direct	径直的、直接的
ensure	确保
safety	安全
region	地区
tourist	旅行者
legal	法律的、合法的
link	连接
reflect	反射、反映、思考
aim	目标
husband	丈夫
underline	下划线、强调
worth	值得
freedom	自由
suppose	假设
reveal	显露、展现
poverty	贫穷
advance	前进、提高
south	南、南方的
smoke	烟
practical	实际的
male	男性、男性的
commercial	商业的
peer	凝视、同伴、贵族
attack	攻击
holiday	假日
limited	有限的、有限责任的
push	推
twenty	二十
police	警察
film	电影
review	复习、回顾、评论
attempt	试图、企图
wealth	财富
associate	联系、结交
prefer	偏好
title	标题
creative	有创造力的
trust	信任
ill	有病的、坏的
box	盒子
cry	哭泣
hardly	几乎不、仅仅
responsible	应负责的、可靠的
track	追踪、足迹、痕迹
warn	警告
total	总共的
derive	取得
china	瓷器
textbook	课本
extra	额外的
electronic	电子的
ignore	忽视
survive	幸存
bird	鸟
heavy	重的
fuel	燃料
magazine	杂志
summer	夏天、夏季的
complex	复杂的
danger	危险
piece	（一）件、碎片
option	选项
throughout	遍及、到处
library	图书馆
mention	提及
institution	机构
appeal	呼吁、吸引
background	背景
colleague	同事
intend	想要（做某事）
strategy	策略
paint	绘画
exact	确切的、特定的
journal	日记
grant	同意、授予
factory	工厂
authority	权力、权威人士
association	协会
tree	树、爬上树
arrive	到、达到
ready	准备好的
cheap	便宜的、不值钱的
patent	专利、专利的
flight	航班
spread	传播
expense	花费
famous	有名的
indeed	确实
establish	建立、查实
observe	观察
chief	首领、主要的
safe	安全的
nor	也不
foot	脚、走
debate	讨论
agency	机构
educate	教育
compete	竞争
wish	希望
staff	员工
adapt	改编、适应
boss	老板
unless	除非
unemployment	失业
fix	固定、修理
scale	规模、刻度、天平
possibility	可能、可能的事
application	应用、申请
participant	参与者
union	一致、联合
threat	威胁
emotion	情感
western	西方的
marriage	结婚、结婚仪式
capacity	容量、能力、生产力
score	分数
obvious	明显的
relation	关系
lesson	课、教训
passenger	乘客
represent	代表
mile	英里
regular	定期的、常规的
adopt	采用、收养
voice	声音
movie	电影
characteristic	特征、独有的
join	参加
operate	运转、动手术
pollution	污染
discuss	讨论
extend	延伸、延展
appropriate	恰当的
match	比赛、匹配
date	日期
ancient	古老的
majority	多数、半数以上
wonder	好奇、奇观
forest	森林
unique	独特的
finding	发现、调查结果
gas	气体、天然气
separate	分开
audience	观众
station	车站
carbon	碳、复写纸
female	女性、雌性
conclude	总结
employ	雇佣、采用
conclusion	总结
moral	道德的
expression	表达、措词
wall	墙壁
temperature	温度
principle	原则
acquire	获得
mail	邮件
consume	消耗、耗尽
aware	意识的
owner	物主
classroom	教室
campus	校园
pain	痛苦
aid	援助
doubt	怀疑
ice	冰、使结冰
cell	细胞
confidence	信任
imagine	想象
taste	口味
resident	居民、居住的
equal	平等的
senior	年长的、资格老的
dinner	正餐
innovation	革新、新方法
pick	挑
overall	全面的、总体上
succeed	成功、接替
strike	击打
examine	检查
instruction	指令、教导
cancer	癌症
judge	判断
divide	划分
rely	依靠
former	以前的、前者
instance	例子
release	释放、解除
front	前面的
harm	伤害
partner	伙伴
floor	地面
imply	暗示
remove	移除
tradition	传统
radio	收音机
vocabulary	词汇
hunt	打猎
clock	时钟、计时
assume	假设、揣测
invite	邀请
collect	收集
campaign	运动、战役
native	本地的、天生的
interesting	有趣的
shortage	不足
reform	改革
corporate	公司的、法人的
powerful	强有力的
central	中心的
efficiency	效率
gender	性别
dangerous	危险的
urban	城市的
emerge	出现
sort	种类、排序
enhance	提高
round	圆的
connect	连接
forward	前进的
handle	处理
debt	债务
diet	饮食
connection	联系
color	颜色
door	门
hot	热的
personality	人格
eventually	最终
manufacture	制造、捏造
ocean	海洋
north	北、北方的
chemical	化学的
afford	承担得起
sugar	糖
apple	苹果
noise	噪音
employment	雇用、工作
advocate	主张、倡议
mass	大量
contrast	形成对比
ideal	理想的、空想的
west	西、向西
vehicle	交通工具
inside	在里面
respond	回答、响应
seven	七
gift	礼物
artist	艺术家
double	双的、使加倍
novel	新颖的、长篇小说
page	页码
park	停车、公园
largely	大量地
cent	分(货币单位)
analysis	分析
outline	轮廓、提纲
citizen	公民
code	代码、法典
strength	力量
display	陈列、显示
advanced	高级的
son	儿子、孩子
sun	太阳
whom	谁、哪个人
budget	预算、做预算
smart	聪明的
manner	礼貌、礼仪、方式
explore	探索
estimate	估计
whatever	无论什么
crop	作物、收成
brand	品牌
launch	发射、使船下水
agriculture	农业
scan	扫描
regulation	规定
nurse	护士、护理
expose	暴露
being	生物、生存
truth	真相
distance	距离
count	数数
hit	打
ticket	票
combine	结合
ban	禁止
bit	一点
impossible	不可能的
nuclear	原子的
basis	基础
boost	往上推、增加
rain	雨
reserve	预留
dog	狗
productivity	生产力
discipline	纪律
seat	座位
revolution	革命、旋转
prize	奖
primary	初级的、最初的
previous	先前的
attractive	吸引人的、动人的
communicate	传达、交流
disaster	灾难
stock	股票、库存
quick	迅速的
fly	飞
heat	热
candidate	候选人
identity	身份
repair	修理、补救
eight	八
tear	眼泪、撕碎
web	网
press	报刊、新闻界
original	最初的
conference	会议
spot	发现、污点
signal	信号
generate	产生、引起
expectation	预期
recession	经济衰退、退后
clothe	给穿衣
facility	灵巧、天资
directly	直接地
ourselves	我们自己、我们亲自
bus	公车
refuse	拒绝
burn	燃烧
decrease	减少
fat	脂肪
table	桌子、表格
sample	样品
gold	金子
obtain	获得
ahead	在…前面
domestic	家庭的
airport	机场
obesity	肥胖
guest	客人
threaten	威胁
fair	公平的
marry	结婚
historical	历史的
formal	正式的、形式的
criminal	犯罪活动、罪犯
familiar	熟悉的
friendly	友好的
planet	行星
strange	奇怪的
useful	有用的
perfect	完美的
genetic	基因的
competitive	竞争的
vast	巨大的、大量的
series	系列
deliver	传递、传输
equipment	设备
visitor	访问者
revenue	财政收入
sector	部分、扇区
inform	通知、告诉
twice	两次
thank	感谢
illness	疾病
altogether	总共、完全地
welfare	福利
blood	血
calorie	卡路里
herself	她自己、她亲自
intelligent	聪明的
cite	引用
guide	指引、指导
household	户、家庭的
pupil	学生、瞳孔
insurance	保险
criticism	批评
exchange	交换
ship	船舶、装运
label	标签、加标签于
differ	与……不同
commit	把…交托给、犯（罪）
admit	承认
objective	客观的、目的
contribution	贡献
context	上下文、环境
complain	抱怨
fine	很好
church	教堂
yield	放弃、屈服、收益
soil	泥土、国土
rent	租
video	录像
brother	兄弟
capital	首都、大写字母
circumstance	情况
illustrate	说明、加插图
target	目标
pretty	漂亮的
active	活跃的、积极的
schedule	日程
window	窗户
alter	改变
sensitive	敏感的、易受伤害的
gather	聚集、搜集
requirement	要求
critic	批评者
property	财产、性质、特性
eliminate	排除、淘汰
artificial	人造的
engineer	工程师
neither	两个都不
busy	忙碌的
touch	触摸、感动
appearance	出现、外表
engineering	工程学
teenager	青少年
rank	排列、等级
cure	治愈
secretary	秘书
circle	圆
welcome	欢迎
switch	开关、改变
complaint	抱怨、疾病
interpret	口译、解释
lawyer	律师
nowadays	现今
priority	优先
military	军事的、军队
cope	处理、应对
propose	提议、提名
relative	亲戚、比较的
sex	性
pull	拉
fresh	新鲜的
crowd	聚集、挤满
prospect	景色、前景
payment	支付
technical	技术的
fish	鱼
birth	出生
anxiety	焦虑
routine	常规、惯例
psychology	心理学
abroad	到国外、广为流传
feed	喂食
talent	才华、人才
fiction	虚构、小说
plane	飞机
afternoon	下午
shoe	鞋子
humanity	人文、人性
preserve	保护、保存
explanation	解释
flow	流动
technique	技术
wake	醒来
hurt	伤害
consist	组成、在于
master	主人、精通、掌握
smile	笑
convince	使人信服
delay	推迟
broad	宽的
sufficient	足够的
mostly	大部分
unlike	不同的、不像
destroy	摧毁
meat	肉类
wage	工资、发动
vision	视力、想象
wealthy	富裕的
exhibit	展览
block	块、阻止、街区
blue	蓝色的
blame	责备
proper	正确的、适当的
invest	投资
tough	艰难的
star	星、恒星
actual	实在的
grammar	语法
peace	和平
otherwise	否则
emphasis	强调
efficient	有效的、能胜任的
survival	幸存
escape	逃跑
import	进口、进口商品
club	俱乐部
red	红色的
invention	发明
discovery	发现
agent	代理
dominate	支配、占优势
pace	速度、行进
element	元素、要素
impose	把……强加于
vote	投票、选票
yes	是
narrow	狭窄的
transfer	转移、传输
copy	复制
vary	改变
participate	参与、分享
advise	劝告、建议
loan	贷款、借出
demonstrate	论证、说明
fundamental	基础的、根本的
origin	起源
recommend	推荐
valuable	有价值的、贵重的
addition	加
contract	合同、缩小
description	描述
alcohol	酒精
district	地区
dry	干燥的
evening	傍晚
breakfast	早饭
gene	基因
wave	招手
moreover	而且、此外
capable	有能力的
ordinary	普通的
strengthen	加强
suggestion	建议
cash	现金
secret	秘密
quarter	四分之一、季度
thought	思想、想法
persuade	说服
software	软件
afraid	害怕的
steal	偷
evolution	进化
corporation	公司、法人
homework	作业
sight	视野、景象
athlete	运动员
outcome	结果
surface	表面
apart	相隔、分开
pleasure	愉快、乐事
entry	进入
justice	公平、审判
electricity	电、电学
notice	注意、通知
final	最终的
rarely	罕见地、几乎不
privacy	隐私
email	电子邮件
cycle	骑自行车、周期
satellite	卫星
burden	负担
king	君主
salary	薪水
mountain	山
religious	宗教的、虔诚的
guarantee	保障
annual	每年的、全年的
ease	减轻
telephone	电话、打电话
garden	花园、园艺
comfort	舒适、安慰
request	请求
foundation	基础、地基
lunch	午饭
engine	引擎
symbol	符号、象征
earthquake	地震
arise	形成、上升
partly	部分地
existence	存在
rapid	快的
willing	情愿的
curiosity	好奇心
childhood	幼年
tie	系
climb	攀爬
net	网、净的
none	没有
widespread	遍布的
stem	茎、词干
abandon	抛弃
pound	英镑、磅
custom	习惯、惠顾
fee	费用
island	岛
suitable	合适的
favor	喜欢、赞同
secure	使安全、争取到
presence	出席、存在
transport	运输
independent	独立的、私营的
notion	概念、见解、打算
distinguish	区别、使有特色
collection	收藏
perspective	观点、判断力
careful	小心的、细致的
toy	玩具
friendship	友谊
throw	扔
ambition	雄心、志向
giant	巨人、巨大的
definition	定义、清晰度
height	高度、身高
reject	拒绝
disappear	消失
typical	典型的
dark	黑暗的、深色的
suit	适合
quit	退出
leadership	领导
behave	表现
inspire	激发
youth	青春、年轻人
violence	暴力、狂热
monitor	监视器
kitchen	厨房
phenomenon	现象
physician	医师
actor	男演员
extent	程度、范围
jump	跳
proportion	部分、比例
egg	蛋、卵
pursue	追求
complicated	错综复杂的
bracket	括号
solar	太阳能的、太阳的
duty	责任
recall	回忆、召回
winter	冬季
assistant	助手
coffee	咖啡
overseas	外国的、在海外
crash	碰撞
river	河流
weekend	周末
administration	管理、政府
excessive	过多的
path	小道
productive	盛产的、富有成效的
enormous	巨大的
conservation	保护、保存
urge	催促、敦促
concentrate	集中
impression	印象
worldwide	全世界的
liberal	不严格的、自由的
immediate	立即的
retire	退休
bed	床
daughter	女儿
substance	物质
clone	克隆
commission	委员会、委托
settle	解决、定居
insist	坚持
editor	编辑
scholar	学者
institute	机构、建立
unusual	不平常的
rare	稀少的、稀薄的
fun	快乐
nine	九
client	顾客、委托人
saving	节省、储蓄金
quiet	安静的
cognitive	认知的
smell	闻
additional	附加的
plastic	塑料、可塑的
officer	官员、军官
wisdom	智慧
mobile	移动的
mood	情绪、心情
symptom	症状
indifferent	漠不关心的
neglect	忽视、疏忽
transform	改变
bright	明亮的
recovery	恢复、重获
reputation	名誉
fault	错误
inflation	通货膨胀
atmosphere	气氛
religion	宗教、信念
root	根、根本
severe	严重的
deny	否定
assess	评估
extreme	极端
introduction	介绍、传入
seldom	很少的
tip	末端、小费、提示
minority	少数
relevant	相关的
cool	酷、使冷静
deserve	值得、应得
repeat	重复
politician	政治家
pose	摆姿势、造成、提出
chair	主席、椅子
beautiful	美好的
organic	器官的、有机物的
vital	重要的
alternative	备选的
cancel	取消
depth	深度
protein	蛋白质
profession	职业
specialist	专家
mere	仅仅的
opposite	相反的、对立面
possess	拥有、具有
recognition	认出、承认
attribute	属性
chain	链
remote	遥远的
tomorrow	明天、来日
continent	洲、大陆
reduction	减少、降低
everyday	每日的
percentage	百分比
version	版本
dramatic	戏剧性的
stimulate	刺激、使兴奋
arrange	安排
faculty	能力、院系
praise	赞美、表扬
volunteer	志愿者
stone	石头
chapter	章节
meanwhile	与此同时
perceive	察觉、理解
merely	仅仅
absorb	吸收
belong	属于
weak	弱的
affair	事情、事务
undergraduate	本科的、本科生
assign	分配、指定
mission	任务、使命
joy	欢乐
highway	公路
publication	公布、出版
poetry	诗歌
usual	通常的
necessity	必要、必然性
adjust	调整
announce	宣布
exposure	暴露、揭发
acknowledge	承认
imagination	想象
locate	指出、位于
incentive	刺激、动机
victim	受害者
airline	航线
confident	自信的
preference	偏爱
approve	赞同
borrow	借
assignment	任务
reliable	可靠的
asset	资产、天赋
constant	坚定的、经常的
leisure	空闲、悠闲
considerable	相当大的
beauty	美丽、美人
massive	巨大的、大规模的
council	理事会
entire	完全的
reverse	相反的、倒退的
document	文档
skim	掠过
optimistic	乐观的
somewhat	稍微
skilled	有技能的、熟练的
appreciate	欣赏、感激
entertainment	招待、娱乐
nobody	谁也不、小人物
satisfaction	满意、乐事
recover	恢复
apartment	房间、公寓
sister	姐妹
plate	盘子
justify	证明…正当
dead	死去的、麻木的
ceremony	仪式
elsewhere	在别处
procedure	步骤
unlikely	不太可能
strict	严格的
stick	棍、刺、粘贴
observation	观察、言论
convey	传达、输送
virtual	虚拟、实际上的
discourage	使泄气
jam	拥堵、果酱
location	位置
coach	教练
merit	优点、价值、值得
occasion	机会、重大活动
bottle	瓶子
implication	后果、言下之意
inevitable	不可避免的
wind	风
surprise	惊讶
independence	独立
aside	在旁边
bind	结合、约束、捆绑
capture	捕获、战利品、拍摄、引起注意
satisfy	满意、使确信
recruit	招募、新兵
skin	皮
retail	零售
sick	生病的
grain	谷物
eager	渴望的
proposal	提议、求婚
excerpt	摘录
brief	简短的
fruit	水果
scene	场景
hide	隐藏
export	输出、出口
exhibition	展览会、陈列
length	长度
cultivate	耕作、培养
border	边界
edge	边、刀口
recycle	回收
treasure	宝藏
bacteria	细菌
selection	选择、精选物
sustain	支撑、忍受
everybody	每人
helpful	有帮助的
instrument	工具、乐器
tired	疲惫的
hair	头发
admission	允许进入、承认
regardless	不顾、不管怎样
empty	空的
spring	春天、跳跃
valley	山谷
clothing	衣物
nice	很好的
universe	宇宙
pursuit	追求、追赶
conscious	神志清醒的、意识到的
laugh	笑
confront	使面临、勇敢地面对
assumption	假定
equality	同等
glass	玻璃、玻璃杯
entitle	给……题名、给……权利
prompt	敏捷的、提示
suspect	怀疑
spirit	精神
hero	英雄
wild	野生的
muscle	肌肉、体力
beat	击败
peak	最高点
arm	手臂
shrink	起皱、减少
transition	过渡、转变
excellent	优秀的
delete	删除
racial	种族的
puzzle	使……困惑
witness	目击、见证
branch	枝、分部
literary	文学的
reference	提及、参考
minister	部长
register	注册
declare	宣布
everywhere	到处
